#HitMtrlParam=HIT_MTRL_PARAM_ST
ID,Name,aiVolumeRate - aiVolumeRate - f32,spEffectId0 - spEffectId0 - s32,spEffectId1 - spEffectId1 - s32,FootEffectHeightType0 - FootEffectHeightType0 - u8,FootEffectHeightType1 - FootEffectHeightType1 - u8,footEffectDirType0 - footEffectDirType0 - u8,footEffectDirType1 - footEffectDirType1 - u8,newSpType0 - newSpType0 - u8,newSpType1 - newSpType1 - u8,unkb1 - unkb1 - u8,unkb2 - unkb2 - u8,HitMtrlType0 - HitMtrlType0 - u8,HitMtrlType1 - HitMtrlType1 - u8,HitMtrlType2 - HitMtrlType2 - u8,spEffectId2 - spEffectId2 - s32,spEffectId3 - spEffectId3 - s32,spEffectId4 - spEffectId4 - s32,spEffectId5 - spEffectId5 - s32,spEffectId6 - spEffectId6 - s32,spEffectId7 - spEffectId7 - s32,spEffectId8 - spEffectId8 - s32,spEffectId9 - spEffectId9 - s32,spEffectId10 - spEffectId10 - s32,spEffectId11 - spEffectId11 - s32,spEffectId12 - spEffectId12 - s32,spEffectId13 - spEffectId13 - s32,spEffectId14 - spEffectId14 - s32,spEffectId15 - spEffectId15 - s32,spEffectId16 - spEffectId16 - s32,pad1 - pad1 - dummy8
10,Nest -- 巣,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
11,Iron -- 鉄,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
12,Flesh -- 血肉,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
13,Sand -- 砂,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
14,Bone -- 骨,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
15,Ash -- 灰,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
16,Roof Tiles -- 屋根瓦,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
17,Cloth -- 布,1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
18,Fallen leaves -- 落ち葉,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
19,Bell -- 鐘,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
20,Water (Puddle) -- 水（水溜り程度）,1.75,-1,4300,1,0,0,0,1,0,0,0,1,0,0,130000,-1,-1,-1,-1,-1,-1,-1,4300,4300,4300,4300,4300,4300,4300,-
21,Water (ankle level) -- 水（足首程度）,1.75,-1,4300,1,0,0,0,1,0,0,0,1,2,0,130000,-1,-1,-1,-1,-1,-1,-1,4300,4300,4300,4300,4300,4300,4300,-
22,Water (knee) -- 水（膝下）,1.75,4100,4300,1,0,0,0,1,0,0,0,1,2,0,130000,4100,4100,4100,4100,4100,4100,4100,4300,4300,4300,4300,4300,4300,4300,-
23,Poison Swamp (shallow) -- 毒沼（浅い）,1,-1,4003,1,0,0,0,1,0,0,0,1,2,0,130010,-1,-1,-1,-1,-1,-1,-1,4003,4003,4003,4003,4003,4003,4003,-
24,Poison Swamp (deep) -- 毒沼（深い）,1,4101,4001,1,0,0,0,1,0,0,0,1,2,0,130010,4101,4101,4101,4101,4101,4101,4101,4001,4001,4001,4001,4001,4001,4001,-
25,Poison Swamp (knee) -- 毒沼（膝下）,1,4100,4001,1,0,0,0,1,0,0,0,1,2,0,130010,4100,4100,4100,4100,4100,4100,4100,4001,4001,4001,4001,4001,4001,4001,-
26,Poison Swamp (about puddle) -- 毒沼（水溜まり程度）,1,-1,4003,1,0,0,0,1,0,0,0,1,0,0,130010,-1,-1,-1,-1,-1,-1,-1,4003,4003,4003,4003,4003,4003,4003,-
27,Water (waist or more) -- 水（腰以上）,1.75,4101,4300,1,0,0,0,1,0,0,0,1,2,0,130000,4101,4101,4101,4101,4101,4101,4101,4300,4300,4300,4300,4300,4300,4300,-
28,Carpet -- 絨毯,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
29,Without -- なし,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
30,Caries -- 蝕,1,-1,4010,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,4010,4010,4010,4010,4010,4010,4010,-
31,God Grave Net -- 神墓ネット,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
32,,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
33,,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
34,,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
35,,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
36,,1,-1,-1,1,0,0,0,1,0,0,0,1,0,0,130010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
37,,1,-1,4012,1,0,0,0,1,0,0,0,1,2,0,130010,-1,-1,-1,-1,-1,-1,-1,4012,4012,4012,4012,4012,4012,4012,-
38,,1,4100,4010,1,0,0,0,1,0,0,0,1,2,0,130010,4100,4100,4100,4100,4100,4100,4100,4010,4010,4010,4010,4010,4010,4010,-
39,,1,4101,4010,1,0,0,0,1,0,0,0,1,2,0,130010,4101,4101,4101,4101,4101,4101,4101,4010,4010,4010,4010,4010,4010,4010,-
40,,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
41,,1,4101,-1,1,0,0,0,1,0,0,0,0,2,0,130000,4101,4101,4101,4101,4101,4101,4101,-1,-1,-1,-1,-1,-1,-1,-
42,,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
43,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
44,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
45,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
46,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
47,,1,4080,4085,0,0,0,0,0,0,1,0,1,0,0,-1,4080,4080,4080,4080,4080,4080,4080,4085,4085,4085,4085,4085,4085,4085,-
48,,1,4001,4080,1,0,0,0,1,0,1,0,1,2,0,130010,4001,4001,4001,4001,4001,4001,4001,4080,4080,4080,4080,4080,4080,4080,-
49,,1,4080,4085,0,0,0,0,0,0,1,0,1,0,0,-1,4080,4080,4080,4080,4080,4080,4080,4085,4085,4085,4085,4085,4085,4085,-
