#PlayRegionParam=PLAY_REGION_PARAM_ST
ID,Name,multiPlayZoneId - マルチプレイ区間ID - s32,multiPlayStartLimitEventFlagId - マルチプレイ開始制限イベントフラグID - s32,otherDisableDistance - その他霊侵入不可能距離 - f32,pcPositionSaveLimitEventFlagId - PC位置セーブ制限イベントフラグID - s32,multiPlayHostLimitEventFlagId - マルチプレイホスト制限イベントフラグ - s32,reserve[12] - 予約領域 - dummy8
510002,,510010,0,20,0,15100890,B4-00-00-01-FF-FF-FF-FF-FF-FF-FF-FF
510003,,510010,0,20,0,15100890,B4-00-00-01-FF-FF-FF-FF-FF-FF-FF-FF
510004,,510010,0,20,0,15100890,B4-00-00-01-FF-FF-FF-FF-FF-FF-FF-FF
510005,,510010,0,20,0,15100890,B4-00-00-01-FF-FF-FF-FF-FF-FF-FF-FF
510010,,0,-1,20,15100850,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
510011,,510020,0,20,0,15100890,B4-00-00-01-FF-FF-FF-FF-FF-FF-FF-FF
510020,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
511000,,0,-1,20,15110800,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
511001,,511010,0,10,0,15110800,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
511010,,0,-1,20,15110890,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
511020,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
530000,,530010,0,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
540000,,540010,0,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
981001,Test Map _01 -- テストマップ_01,981010,0,0,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
981002,Test Map _02 -- テストマップ_02,981010,0,0,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
981003,Test Map _03 -- テストマップ_03,981010,0,0,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
981004,Test Map _04 -- テストマップ_04,981010,0,0,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
981005,Test Map _05 -- テストマップ_05,981010,0,0,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
